"stream_id","user_name","user_id","game_id","started_at","tag_ids","title","type","language","viewer_count","_id","created_at","__v"
38680857200,"hashinshin",29289159,21779,"2020-06-15T01:58:28.000Z","[""6ea6bca4-4712-4ab9-a906-e3336a9d8039"",""a2b52993-d6ad-4a35-9ffe-e2ebfea77c33"",""7be27755-4983-491c-9247-04c035f06f40"",""51529054-5baf-493e-8961-2a43e4d0c6ac""]","HASHINSHIN TRYING TO CLIMB","live","en",1542,"5ee6ed1f2cef8f5394ab8fbd","2020-06-15T03:38:07.614Z",0
38680857200,"hashinshin",29289159,21779,"2020-06-15T01:58:28.000Z","[""6ea6bca4-4712-4ab9-a906-e3336a9d8039"",""a2b52993-d6ad-4a35-9ffe-e2ebfea77c33"",""7be27755-4983-491c-9247-04c035f06f40"",""51529054-5baf-493e-8961-2a43e4d0c6ac""]","HASHINSHIN TRYING TO CLIMB","live","en",1662,"5ee6ee4b2cef8f5394ab8fbe","2020-06-15T03:43:07.859Z",0
38680857200,"hashinshin",29289159,21779,"2020-06-15T01:58:28.000Z","[""6ea6bca4-4712-4ab9-a906-e3336a9d8039"",""a2b52993-d6ad-4a35-9ffe-e2ebfea77c33"",""7be27755-4983-491c-9247-04c035f06f40"",""51529054-5baf-493e-8961-2a43e4d0c6ac""]","HASHINSHIN TRYING TO CLIMB","live","en",1712,"5ee6ef782cef8f5394ab8fbf","2020-06-15T03:48:08.113Z",0
38680857200,"hashinshin",29289159,21779,"2020-06-15T01:58:28.000Z","[""6ea6bca4-4712-4ab9-a906-e3336a9d8039"",""a2b52993-d6ad-4a35-9ffe-e2ebfea77c33"",""7be27755-4983-491c-9247-04c035f06f40"",""51529054-5baf-493e-8961-2a43e4d0c6ac""]","HASHINSHIN TRYING TO CLIMB","live","en",1756,"5ee6f0a42cef8f5394ab8fc0","2020-06-15T03:53:08.356Z",0
38680857200,"hashinshin",29289159,21779,"2020-06-15T01:58:28.000Z","[""6ea6bca4-4712-4ab9-a906-e3336a9d8039""]","HASHINSHIN TRYING TO CLIMB","live","en",1813,"5ee6f1d02cef8f5394ab8fc1","2020-06-15T03:58:08.590Z",0
38680857200,"hashinshin",29289159,21779,"2020-06-15T01:58:28.000Z","[""6ea6bca4-4712-4ab9-a906-e3336a9d8039""]","HASHINSHIN TRYING TO CLIMB","live","en",1595,"5ee6f2fc2cef8f5394ab8fc2","2020-06-15T04:03:08.817Z",0
38680857200,"hashinshin",29289159,21779,"2020-06-15T01:58:28.000Z","[""51529054-5baf-493e-8961-2a43e4d0c6ac"",""7be27755-4983-491c-9247-04c035f06f40"",""1b8acdd1-0d40-475a-b091-1bdb6f5112d4"",""6ea6bca4-4712-4ab9-a906-e3336a9d8039""]","HASHINSHIN TRYING TO CLIMB","live","en",1657,"5ee6f4292cef8f5394ab8fc3","2020-06-15T04:08:09.082Z",0
38680857200,"hashinshin",29289159,21779,"2020-06-15T01:58:28.000Z","[""51529054-5baf-493e-8961-2a43e4d0c6ac"",""7be27755-4983-491c-9247-04c035f06f40"",""1b8acdd1-0d40-475a-b091-1bdb6f5112d4"",""6ea6bca4-4712-4ab9-a906-e3336a9d8039""]","HASHINSHIN TRYING TO CLIMB","live","en",1828,"5ee6f5552cef8f5394ab8fc4","2020-06-15T04:13:09.311Z",0
38680857200,"hashinshin",29289159,21779,"2020-06-15T01:58:28.000Z","[""51529054-5baf-493e-8961-2a43e4d0c6ac"",""7be27755-4983-491c-9247-04c035f06f40"",""1b8acdd1-0d40-475a-b091-1bdb6f5112d4"",""6ea6bca4-4712-4ab9-a906-e3336a9d8039""]","HASHINSHIN TRYING TO CLIMB","live","en",1828,"5ee6f6812cef8f5394ab8fc5","2020-06-15T04:18:09.543Z",0
38680857200,"hashinshin",29289159,21779,"2020-06-15T01:58:28.000Z","[""51529054-5baf-493e-8961-2a43e4d0c6ac"",""7be27755-4983-491c-9247-04c035f06f40"",""1b8acdd1-0d40-475a-b091-1bdb6f5112d4"",""6ea6bca4-4712-4ab9-a906-e3336a9d8039""]","HASHINSHIN TRYING TO CLIMB","live","en",1767,"5ee6f7ad2cef8f5394ab8fc6","2020-06-15T04:23:09.785Z",0
38680857200,"hashinshin",29289159,21779,"2020-06-15T01:58:28.000Z","[""51529054-5baf-493e-8961-2a43e4d0c6ac"",""7be27755-4983-491c-9247-04c035f06f40"",""1b8acdd1-0d40-475a-b091-1bdb6f5112d4"",""6ea6bca4-4712-4ab9-a906-e3336a9d8039""]","HASHINSHIN TRYING TO CLIMB","live","en",1767,"5ee6f8da2cef8f5394ab8fc7","2020-06-15T04:28:10.014Z",0
38680857200,"hashinshin",29289159,21779,"2020-06-15T01:58:28.000Z","[""51529054-5baf-493e-8961-2a43e4d0c6ac"",""7be27755-4983-491c-9247-04c035f06f40"",""1b8acdd1-0d40-475a-b091-1bdb6f5112d4"",""6ea6bca4-4712-4ab9-a906-e3336a9d8039""]","HASHINSHIN TRYING TO CLIMB","live","en",1767,"5ee6fa062cef8f5394ab8fc8","2020-06-15T04:33:10.254Z",0
