"twitch_channel_id","user_name","channel_created_at","channel_updated_at","game","followers","views","status","language","_id","__v"
32140000,"sypherpk","2012-07-14T23:39:55.205Z","2020-06-23T22:32:53.479Z","Fortnite",3391644,67454412,"New Firefly Item | @SypherPK on all Socials | #PKHOOD 👹 #ReesesPartner","en","5ef283eb48d0693cd409712d",0
17337557,"drdisrespect","2010-11-02T15:32:25.181Z","2020-06-23T22:34:17.415Z","Call of Duty: Modern Warfare",4435585,181418687,"Twitch Rivals Warzone Tournament  | !charity !donate | @DrDisrespect","en","5ef283eb48d0693cd4097128",0
110690086,"myth","2015-12-27T19:23:58.830Z","2020-06-23T22:03:53.633Z","VALORANT",6586949,112290925,"PRO CUSTOMS & Ranked Tomorrow - !merch","en","5ef283eb48d0693cd4097123",0
60056333,"tfue","2014-04-02T03:57:20.238Z","2020-06-23T22:31:58.322Z","Call of Duty: Modern Warfare",8538921,222097231,"High Kill Solos (Short Stream)","en","5ef283eb48d0693cd4097122",0
459331509,"auronplay","2019-09-03T14:02:49.015Z","2020-06-23T22:05:49.084Z","Grand Theft Auto V",3421748,30952077,"🤬 GTA V ROLEPLAY #40 🤬","es","5ef283eb48d0693cd409712c",0
26301881,"sodapoppin","2011-11-22T04:40:56.758Z","2020-06-23T22:34:16.489Z","SpongeBob SquarePants: Battle for Bikini Bottom – Rehydrated",2733141,319589229,"CAPS LOCK TITLE LOOK AT ME WEEWOOWEEEWOO","en","5ef283eb48d0693cd4097133",0
36029255,"riotgames","2012-09-08T06:53:10.585Z","2020-06-23T22:06:18.165Z","League of Legends",4507009,1225663471,"LCS Summer: Week 2 Day 3","en","5ef283eb48d0693cd4097127",0
71092938,"xqcow","2014-09-12T23:50:05.989Z","2020-06-23T22:32:29.356Z","Just Chatting",3070044,157127497,"INSANE HUGE CLAPPING EVERYTHNIG THAT MOVES UNDER HOOF. BEWARE THE MONSTER PTPTYHJRHYTUIYUIUIUIUIUIIUIUUIUI","en","5ef283eb48d0693cd4097130",0
45044816,"montanablack88","2013-06-21T23:14:20.663Z","2020-06-23T22:36:26.647Z","Call of Duty: Modern Warfare",2724929,75377504,"Numero Uno","de","5ef283eb48d0693cd4097132",0
55125740,"fortnite","2014-01-17T12:49:38.554Z","2020-06-23T22:07:56.264Z","Fortnite",3102855,82247731,"The FNCS Invitational: Grand Finals Day 2","en","5ef283eb48d0693cd409712f",0
31239503,"esl_csgo","2012-06-11T13:36:21.618Z","2020-06-23T22:04:35.913Z","Counter-Strike: Global Offensive",3941821,489806617,"RERUN: 100 Thieves vs. Gen.G Esports [Dust2] Map 2 - ESL One: Road to Rio - Group A - NA","en","5ef283eb48d0693cd409712a",0
16764225,"syndicate","2010-10-17T23:19:43.512Z","2020-06-23T22:08:00.262Z","Call of Duty: Modern Warfare",2996408,69877536,"Road To 200 Wins (136 Total)","en","5ef283eb48d0693cd4097131",0
26490481,"summit1g","2011-12-01T06:33:31.487Z","2020-06-23T22:32:10.403Z","Grand Theft Auto V",5357875,381589245,"gta chillin  [ @summit1g ]","en","5ef283eb48d0693cd4097124",0
24991333,"imaqtpie","2011-09-22T13:10:14.273Z","2020-06-23T22:07:24.251Z","League of Legends",2657140,331458133,"AHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH","en","5ef283eb48d0693cd4097134",0
29829912,"drlupo","2012-04-16T15:13:08.677Z","2020-06-23T22:05:27.083Z","Escape From Tarkov",4042190,115797501,"pure gaming athleticism","en","5ef283eb48d0693cd4097129",0
127651530,"tsm_daequan","2016-06-24T23:45:32.837Z","2020-06-23T22:34:51.501Z","Bombergrounds: Battle Royale",3771803,50705805,"Hi","en","5ef283eb48d0693cd409712b",0
44445592,"pokimane","2013-06-07T14:25:22.266Z","2020-06-23T22:35:59.666Z","Just Chatting",5066850,115027734,"giving chat 2k to buy whatever","en","5ef283eb48d0693cd4097126",0
51496027,"loltyler1","2013-11-14T00:27:41.456Z","2020-06-23T22:32:06.263Z","League of Legends",3388839,165389703,"BIG MOUNTAIN . STRONG OX . TALL TREE . YOU GUESS IT !!!! T1 !!!!!","en","5ef283eb48d0693cd409712e",0
39276140,"rubius","2013-01-12T18:46:56.563Z","2020-06-23T22:04:40.976Z","Just Chatting",5075111,65284638,"noche buenarda con mis panas | videos, terror, idk","es","5ef283eb48d0693cd4097125",0
76508554,"anomaly","2014-12-04T03:13:38.947Z","2020-06-23T22:08:01.220Z","Counter-Strike: Global Offensive",2629742,60849821,"SELLING BUFF BALANCEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE","en","5ef283eb48d0693cd4097135",0
